place_id,kgmid,name,main_category,categories,rating,reviews,phone,website,address,detailed_address,coordinates,link,menu,order_online_links,featured_image,price_range,hours
ChIJ1Q9YG9VN4DsRd8WihchnHR0,/g/1vcl26y3,Mahalaxmi Juice & Fast Food Corner.,Restaurant,"[""Restaurant""]",4.4,16506,096646 42747,,"I-1, MUKTANAND NAGAR, SOCIETY, New Rander Rd, nr. Sardar Vallabhbhai Patel Bridge, ROAD, Adajan, Surat, Gujarat 395009","{""ward"":""Opposite Krishna Complex, Near Gujarat Gas Circle, ROAD, Adajan"",""street"":""I-1, MUKTANAND NAGAR, SOCIETY, New Rander Rd, nr. Sardar Vallabhbhai Patel Bridge"",""city"":""Surat"",""postal_code"":""395009"",""state"":""Gujarat"",""country_code"":""IN""}","{""latitude"":21.1947953,""longitude"":72.80175679999999}",https://www.google.com/maps/place/Mahalaxmi+Juice+%26+Fast+Food+Corner./data=!4m7!3m6!1s0x3be04dd51b580fd5:0x1d1d67c885a2c577!8m2!3d21.1947953!4d72.8017568!16s%2Fg%2F1vcl26y3!19sChIJ1Q9YG9VN4DsRd8WihchnHR0?authuser=0&rclk=1&hl=en,,[],https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnlMI_syfNhZZslSr3GGaams4iN5n2wQpEntLIvOp9J10BRV1vj4TfVQUYE6i7RJo2od5aUzF4AphJRltXzxq0xaU-9jVDP4pBsUrS06YnFn-W7fJw5twe3dBuNtYFSDWTPbpQ-=w1920-h1080-k-no,,"[{""day"":""Monday"",""times"":[""11 am-12 am""]},{""day"":""Tuesday"",""times"":[""11 am-12 am""]},{""day"":""Wednesday"",""times"":[""11 am-12 am""]},{""day"":""Thursday"",""times"":[""11 am-12 am""]},{""day"":""Friday"",""times"":[""11 am-12 am""]},{""day"":""Saturday"",""times"":[""11 am-12 am""]},{""day"":""Sunday"",""times"":[""11 am-12 am""]}]"
ChIJj506osxN4DsR5-WDQ7s6aXc,/g/1q5gjdxrz,McDonald's,Fast food restaurant,"[""Fast food restaurant"",""Breakfast restaurant"",""Coffee shop"",""Dessert shop"",""Family restaurant"",""Meal delivery"",""Restaurant""]",4.2,11385,089283 04168,https://mcdelivery.co.in/restaurants/surat/109/order-food-online-in-McDonalds-millionaire-adajan,"S No 3, GF, Millionaire Business Park, Subhash Chandra Bose Marg, Adajan, Surat, Gujarat 395009","{""ward"":""TGB, Adajan Gam, Adajan"",""street"":""S No 3, GF, Millionaire Business Park, Subhash Chandra Bose Marg"",""city"":""Surat"",""postal_code"":""395009"",""state"":""Gujarat"",""country_code"":""IN""}","{""latitude"":21.193998699999998,""longitude"":72.7870322}",https://www.google.com/maps/place/McDonald's/data=!4m7!3m6!1s0x3be04dcca23a9d8f:0x77693abb4383e5e7!8m2!3d21.1939987!4d72.7870322!16s%2Fg%2F1q5gjdxrz!19sChIJj506osxN4DsR5-WDQ7s6aXc?authuser=0&hl=en&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1,,[],https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkBJhpBi6bmQ9BrxJHegfntCSQE9BXfLxFH1S9UBAprDH3U9P25pbn1OkdiwuBeF3mzYMbdNUUlyi7Wm8_Sjk-A1jcavmKiX-FO65C77f0k-sHJslaBsGdUYZBrDhUQQOwJrHbj=w1920-h1080-k-no,,"[{""day"":""Monday"",""times"":[""11 am-4 am""]},{""day"":""Tuesday"",""times"":[""11 am-4 am""]},{""day"":""Wednesday"",""times"":[""11 am-4 am""]},{""day"":""Thursday"",""times"":[""11 am-4 am""]},{""day"":""Friday"",""times"":[""11 am-4 am""]},{""day"":""Saturday"",""times"":[""11 am-4 am""]},{""day"":""Sunday"",""times"":[""11 am-4 am""]}]"
ChIJk-5_CaVN4DsR4-N9rK17U3o,/g/1pp2vbbbb,De' Villa Garden Restro Lounge,Modern Indian restaurant,"[""Modern Indian restaurant"",""Chinese noodle restaurant"",""Continental restaurant"",""Garden"",""Restaurant""]",4.3,8912,081288 70440,https://de-villa-garden.grexa.site/,"L.P Savani Sports Complex Adajan, Hazira Rd, Bhatha, Surat, Gujarat 394510","{""ward"":""Bhatha"",""street"":""L.P Savani Sports Complex Adajan, Hazira Rd"",""city"":""Surat"",""postal_code"":""394510"",""state"":""Gujarat"",""country_code"":""IN""}","{""latitude"":21.179795799999997,""longitude"":72.76613569999999}",https://www.google.com/maps/place/De'+Villa+Garden+Restro+Lounge/data=!4m7!3m6!1s0x3be04da5097fee93:0x7a537badac7de3e3!8m2!3d21.1797958!4d72.7661357!16s%2Fg%2F1pp2vbbbb!19sChIJk-5_CaVN4DsR4-N9rK17U3o?authuser=0&rclk=1,"{""link"":""https://www.devilla.co.in/menu/page-46318304"",""source"":""devilla.co.in""}","[{""link"":""https://www.swiggy.com/restaurants/de-villa-garden-restro-lounge-gam-adajan-surat-676279/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve"",""source"":""swiggy.com""},{""link"":""https://www.district.in/dining/surat/de-villa-garden-restro-lounge-pal-gam/book?utm_source=rwg"",""source"":""district.in""},{""link"":""https://www.zomato.com/surat/de-villa-garden-restro-lounge-pal-gam/book?utm_source=rwg"",""source"":""zomato.com""},{""link"":""https://www.eazydiner.com/surat/de-villa-garden-restro-lounge-adajan-surat-704088"",""source"":""eazydiner.com""}]",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWknmkncm-wtWTDq20TEKf005rsgwPWIIM8PYn12way9Et7PpZoCFv6ir8dLikOnWc1Ny1OAXLD-9-VU1JVtVPuB1t8z8-5-qEnZ0SQvmkiw9XS3O2x8oMqz4fdzTTN3cWQ5ky5H63-0ZM8=w1920-h1080-k-no,,[]
ChIJA-mkaXdO4DsRQILwPJ_rZOw,/g/1hc2sx4bh,Mysore Cafe,South Indian restaurant,"[""South Indian restaurant"",""Breakfast restaurant"",""Indian restaurant"",""Vegetarian restaurant""]",4.3,7889,0261 246 3767,,"Daruwalla Building Besides Athwa Petrol Pump, Athwalines, Surat, Gujarat 395001","{""ward"":""Athwalines, Athwa Gate"",""street"":""Daruwalla Building Besides Athwa Petrol Pump"",""city"":""Surat"",""postal_code"":""395001"",""state"":""Gujarat"",""country_code"":""IN""}","{""latitude"":21.1850958,""longitude"":72.8085801}",https://www.google.com/maps/place/Mysore+Cafe/data=!4m7!3m6!1s0x3be04e7769a4e903:0xec64eb9f3cf08240!8m2!3d21.1850958!4d72.8085801!16s%2Fg%2F1hc2sx4bh!19sChIJA-mkaXdO4DsRQILwPJ_rZOw?authuser=0&rclk=1&hl=en,,[],https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmTH4IfepaonF7-KEk4AegZCY9z5SHEFyTNBdXM0cYO1oGp1_We_T-sGjPAvQhZur8SrHPKs1VxtKVo0Tya_Z7LGVwp6JW_fqpStnYk7sEp6jLRaWfRKkcaKJDqlPsDkRESThdKzlwPxSw=w1920-h1080-k-no,1-200,"[{""day"":""Monday"",""times"":[""8 am-10:30 pm""]},{""day"":""Tuesday"",""times"":[""8 am-10:30 pm""]},{""day"":""Wednesday"",""times"":[""8 am-10:30 pm""]},{""day"":""Thursday"",""times"":[""8 am-10:30 pm""]},{""day"":""Friday"",""times"":[""8 am-10:30 pm""]},{""day"":""Saturday"",""times"":[""8 am-10:30 pm""]},{""day"":""Sunday"",""times"":[""8 am-10:30 pm""]}]"
ChIJo9ACkm5N4DsRFX7TXc9YKQU,/g/11f6ng9y72,Burger King,Fast food restaurant,"[""Fast food restaurant"",""Family restaurant"",""Food court"",""Takeout restaurant"",""Restaurant""]",4.5,6665,086574 21530,https://stores.burgerking.in/burger-king-fast-food-restaurant-adajan-surat-179235/Home?utm_source=locator&utm_medium=googleplaces,"GF, Valentina Business Hub, S No 4 & 5, LP Savani Rd, Adajan Gam, Adajan, Surat, Gujarat 395009","{""ward"":""Adajan Gam, Adajan"",""street"":""GF, Valentina Business Hub, S No 4 & 5, LP Savani Rd"",""city"":""Surat"",""postal_code"":""395009"",""state"":""Gujarat"",""country_code"":""IN""}","{""latitude"":21.1893018,""longitude"":72.7900008}",https://www.google.com/maps/place/Burger+King/data=!4m7!3m6!1s0x3be04d6e9202d0a3:0x52958cf5dd37e15!8m2!3d21.1893018!4d72.7900008!16s%2Fg%2F11f6ng9y72!19sChIJo9ACkm5N4DsRFX7TXc9YKQU?authuser=0&hl=en&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1,,"[{""link"":""https://www.swiggy.com/restaurants/burger-king-gam-adajan-surat-907945/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve"",""source"":""swiggy.com""}]",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWltqkovCd2iqy7k3HDEqXKD0LM6ukYfns8y5FctR7hnXZhbs9uY6NROW2mCsrFgLKPJ_B1yfyRz8fhdBj_RpCSwGlBlg2NKtbeRF6m3D2ctmqlyJUjGRctPtmHqX7oJC2sMLbVJ1cy7wg=w1920-h1080-k-no,200-400,"[{""day"":""Monday"",""times"":[""9 am-5 am""]},{""day"":""Tuesday"",""times"":[""9 am-5 am""]},{""day"":""Wednesday"",""times"":[""9 am-5 am""]},{""day"":""Thursday"",""times"":[""9 am-5 am""]},{""day"":""Friday"",""times"":[""9 am-5 am""]},{""day"":""Saturday"",""times"":[""9 am-5 am""]},{""day"":""Sunday"",""times"":[""9 am-5 am""]}]"
ChIJ-1xs09xN4DsRwYvpnlo4Wwo,/g/11f7q113pk,Lemon Grass Garden Restaurant,Punjabi restaurant,"[""Punjabi restaurant"",""Chinese restaurant"",""Restaurant"",""Vegetarian restaurant""]",4.2,6422,063563 73333,https://lemongrassgardenrestaurant.com/,"Pal Lake, to, Gaurav Path Road, Surat, Gujarat 394510","{""ward"":""Pal Gam"",""street"":""Pal Lake, to, Gaurav Path Road"",""city"":""Surat"",""postal_code"":""394510"",""state"":""Gujarat"",""country_code"":""IN""}","{""latitude"":21.1982101,""longitude"":72.77217499999999}",https://www.google.com/maps/place/Lemon+Grass+Garden+Restaurant/data=!4m7!3m6!1s0x3be04ddcd36c5cfb:0xa5b385a9ee98bc1!8m2!3d21.1982101!4d72.772175!16s%2Fg%2F11f7q113pk!19sChIJ-1xs09xN4DsRwYvpnlo4Wwo?authuser=0&rclk=1,,"[{""link"":""https://www.swiggy.com/restaurants/lemon-grass-garden-restaurant-gam-adajan-surat-392378/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve"",""source"":""swiggy.com""}]",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkcVoorMf5ywAEr-3QUSzvH-I60b31qF2ChmPZMcmA6jiSOyfHBFIGm-cTD5eYOoWbELLdEeY2U11yqmJnQoWz7SmpPIQeF_DS79cdglGn5ZZXLBr-8EM1yp7Q-JMq2tsVv9Cww=w1920-h1080-k-no,200-400,"[{""day"":""Monday"",""times"":[""11 am-3 pm"",""6:30-11 pm""]},{""day"":""Tuesday"",""times"":[""11 am-3 pm"",""6:30-11 pm""]},{""day"":""Wednesday"",""times"":[""11 am-3 pm"",""6:30-11 pm""]},{""day"":""Thursday"",""times"":[""11 am-3 pm"",""6:30-11 pm""]},{""day"":""Friday"",""times"":[""11 am-3 pm"",""6:30-11 pm""]},{""day"":""Saturday"",""times"":[""11 am-3 pm"",""6:30-11 pm""]},{""day"":""Sunday"",""times"":[""11 am-3 pm"",""6:30-11 pm""]}]"
ChIJN7D7xXFO4DsRiVPofOzoJoA,/g/1tct75fk,Sasumaa Gujarati Thali,Vegetarian restaurant,"[""Vegetarian restaurant"",""Gujarati restaurant""]",4.1,6255,076986 52652,https://www.sasumaarestaurant.com/,"Mangal Deep Complex, Ring Rd, opp. Vanita Vishram Ground, Vijay Nagar, Majura Gate, Surat, Gujarat 395001","{""ward"":""Vijay Nagar, Majura Gate"",""street"":""Mangal Deep Complex, Ring Rd, opp. Vanita Vishram Ground"",""city"":""Surat"",""postal_code"":""395001"",""state"":""Gujarat"",""country_code"":""IN""}","{""latitude"":21.183059999999998,""longitude"":72.8149145}",https://www.google.com/maps/place/Sasumaa+Gujarati+Thali/data=!4m7!3m6!1s0x3be04e71c5fbb037:0x8026e8ec7ce85389!8m2!3d21.18306!4d72.8149145!16s%2Fg%2F1tct75fk!19sChIJN7D7xXFO4DsRiVPofOzoJoA?authuser=0&rclk=1&hl=en,,"[{""link"":""https://www.swiggy.com/restaurants/sasumaa-gujrati-thali-nanpura-athwa-surat-71104/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve"",""source"":""swiggy.com""}]",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWntT1Z4s_JCO8jncAuRWHaMJWAgaV8x19Og3YxwrFGxR3TtF2t78Bq4kPsTbF_weCOOJwPdIRJaDPepPg8_EfblnwcCEnc554LRgB4WWjkp2anGnVnjZg85maWHARv_jMNHKu8=w1920-h1080-k-no,200-400,"[{""day"":""Monday"",""times"":[""11:30 am-3:30 pm"",""7-10:30 pm""]},{""day"":""Tuesday"",""times"":[""11:30 am-3:30 pm"",""7-10:30 pm""]},{""day"":""Wednesday"",""times"":[""11:30 am-3:30 pm"",""7-10:30 pm""]},{""day"":""Thursday"",""times"":[""11:30 am-3:30 pm"",""7-10:30 pm""]},{""day"":""Friday"",""times"":[""11:30 am-3:30 pm"",""7-10:30 pm""]},{""day"":""Saturday"",""times"":[""11:30 am-3:30 pm"",""7-10:30 pm""]},{""day"":""Sunday"",""times"":[""11:30 am-3:30 pm"",""7-10:30 pm""]}]"
ChIJ88IfAdVN4DsRQEpl7CKSVWs,/g/1tk_mr6b,Vijay Dairy Products,Dairy store,"[""Dairy store"",""Sweet shop"",""Dairy Products Supplier""]",4.7,6163,098794 92000,https://vijaydairy.com/,"B/1-2, Gujarat Gas Cir, Vishal Nagar Society, Adajan, Surat, Gujarat 395009","{""ward"":""Maitry Society, Vishal Nagar Society, Adajan Gam, Adajan"",""street"":""B/1-2, Gujarat Gas Cir"",""city"":""Surat"",""postal_code"":""395009"",""state"":""Gujarat"",""country_code"":""IN""}","{""latitude"":21.1934534,""longitude"":72.8017868}",https://www.google.com/maps/place/Vijay+Dairy+Products/data=!4m7!3m6!1s0x3be04dd5011fc2f3:0x6b559222ec654a40!8m2!3d21.1934534!4d72.8017868!16s%2Fg%2F1tk_mr6b!19sChIJ88IfAdVN4DsRQEpl7CKSVWs?authuser=0&hl=en&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1,,[],https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmmrzV9r_iehbDFFm3pFDkMEsXT1w0r7NnOEPKzY-KmWdlNk-tGcs0ZzpoRm0tsTDITDNkOBmI0tVXXcriM92MdWj7x1Y4Fm6P71GrVMjehRXA1Vsayj84cPQ0C97ppgPj3wECNPHpHkKIV=w1920-h1080-k-no,,"[{""day"":""Monday"",""times"":[""7 am-9 pm""]},{""day"":""Tuesday"",""times"":[""7 am-9 pm""]},{""day"":""Wednesday"",""times"":[""7 am-9 pm""]},{""day"":""Thursday"",""times"":[""7 am-9 pm""]},{""day"":""Friday"",""times"":[""7 am-9 pm""]},{""day"":""Saturday"",""times"":[""7 am-9 pm""]},{""day"":""Sunday"",""times"":[""7 am-9 pm""]}]"
ChIJP5Tc0MdN4DsRJYNj70Q2vsw,/g/11h9r3lxcf,Royal Dine Pal RTO | Restaurant | Banquet,Punjabi restaurant,"[""Punjabi restaurant"",""Asian restaurant"",""Chinese restaurant"",""Italian restaurant"",""Mexican restaurant"",""Vegetarian restaurant""]",4.3,5801,072029 44440,https://www.royaldinesurat.com/palrto.html,"1st Floor Marvella Business Hub, Hazira Rd, opp. New RTO, Adajan Gam, Pal Gam, Surat, Gujarat 394510","{""ward"":""Adajan Gam, Pal Gam"",""street"":""1st Floor Marvella Business Hub, Hazira Rd, opp. New RTO"",""city"":""Surat"",""postal_code"":""394510"",""state"":""Gujarat"",""country_code"":""IN""}","{""latitude"":21.183106,""longitude"":72.78311099999999}",https://www.google.com/maps/place/Royal+Dine+Pal+RTO+%7C+Restaurant+%7C+Banquet/data=!4m7!3m6!1s0x3be04dc7d0dc943f:0xccbe3644ef638325!8m2!3d21.183106!4d72.783111!16s%2Fg%2F11h9r3lxcf!19sChIJP5Tc0MdN4DsRJYNj70Q2vsw?authuser=0&rclk=1&hl=en,,"[{""link"":""https://www.swiggy.com/restaurants/royal-dine-restaurant-and-banquet-gam-adajan-surat-73026/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve"",""source"":""swiggy.com""},{""link"":""https://www.zomato.com/surat/royal-dine-restaurant-banquet-pal-gam/book?utm_source=rwg"",""source"":""zomato.com""},{""link"":""https://www.district.in/dining/surat/royal-dine-restaurant-banquet-pal-gam/book?utm_source=rwg"",""source"":""district.in""}]",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmSNZFqJSGgYalfHxEAUvkdv-yGCPR2KvFeEcylm7I5cvrIMfq6K2gIYQ6ILQY_qOb5iqE-8qmxCqKaSAY-3u-eoRlXa2HFKSPYqjsTW-_fwLmE3JgVF8KU4qQ-upj2GDzjJ0Cs=w1920-h1080-k-no,200-400,"[{""day"":""Monday"",""times"":[""11 am-3 pm"",""6:45-10:45 pm""]},{""day"":""Tuesday"",""times"":[""11 am-3 pm"",""6:45-10:45 pm""]},{""day"":""Wednesday"",""times"":[""11 am-3 pm"",""6:45-10:45 pm""]},{""day"":""Thursday"",""times"":[""11 am-3 pm"",""6:45-10:45 pm""]},{""day"":""Friday"",""times"":[""11 am-3 pm"",""6:45-10:45 pm""]},{""day"":""Saturday"",""times"":[""11 am-3 pm"",""6:45-10:45 pm""]},{""day"":""Sunday"",""times"":[""11 am-3 pm"",""6:45-10:45 pm""]}]"
ChIJiZAxdDFM4DsRX69Mi10EZtQ,/g/1260z363n,Mahesh Pavbhaji,Dessert restaurant,"[""Dessert restaurant""]",4.4,5507,096622 86901,,"Shop 1-2 Garden View Appartment, Chatrapati Shivaji Marg, Surat, Gujarat 395009","{""ward"":""Adajan Gam, Adajan"",""street"":""Shop 1-2 Garden View Appartment, Chatrapati Shivaji Marg"",""city"":""Surat"",""postal_code"":""395009"",""state"":""Gujarat"",""country_code"":""IN""}","{""latitude"":21.202441,""longitude"":72.789227}",https://www.google.com/maps/place/Mahesh+Pavbhaji/data=!4m7!3m6!1s0x3be04c3174319089:0xd466045d8b4caf5f!8m2!3d21.202441!4d72.789227!16s%2Fg%2F1260z363n!19sChIJiZAxdDFM4DsRX69Mi10EZtQ?authuser=0&hl=en&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1,,"[{""link"":""https://www.swiggy.com/restaurants/mahesh-pav-bhaji-gam-adajan-surat-64656/dineout?is_retargeting=true&media_source=GoogleReserve&utm_campaign=GoogleMap&utm_source=GoogleReserve"",""source"":""swiggy.com""}]",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWniC8gD20goSQ9wMcKI2J6rVqunfYRbsFNJwuhEA9fCUQsZABIT6fkEgvO5zKBO-mhSSH1DlTrVlWMuCkhfF7Vloe1Y4iU3fEKYCk4p5xVTZTvTMPvLkTe4Z4GQFTdf8jF3xllX=w1920-h1080-k-no,200-400,"[{""day"":""Monday"",""times"":[""12 pm-1 am""]},{""day"":""Tuesday"",""times"":[""12 pm-1 am""]},{""day"":""Wednesday"",""times"":[""12 pm-1 am""]},{""day"":""Thursday"",""times"":[""12 pm-1 am""]},{""day"":""Friday"",""times"":[""12 pm-1 am""]},{""day"":""Saturday"",""times"":[""12 pm-1 am""]},{""day"":""Sunday"",""times"":[""12 pm-1 am""]}]"
